Brand,Model,Dimension (mm),,,Robot weight (Kg),Width cleaning (mm),Brush Pressure (Kg),Vacumm Pressure (kPa),Speed (m/s),Noise leve (dB),Work station,Dock Charge,Manual Charge,Cleaning Efficiency (m²/h),,,,,Tank capacity (L.),,,,Cleaning Function,,,,,,Navigation,,,Battery,,,,,,,Minimum passable width (mm),Minimum passable height (mm),Maximum Narrow cross (mm),Min. Turn width (mm),Min.edge from wall (mm),Max.Step High (mm),Slope Angle (๐),Spot AI,Outdoor / Indoor,IP,HEPA,Floor Type,,,,,,,,,,,,,,,,,Floor Layout Method,,,,,
,,,,,,,,,,,,,,,,,,,Clean,Waste,Trash,Dust bag,Sweep,,Mop,,Scrub brush,,Lidar,,Camera,Type,Voltage (Volt),Capacity (Ah),Charging time(hr.),Work time (hr.),,,,,,,,,,,,,,Paving blocks,Granite,Marble,Terrazzo,Terracotta,Ceramic,Smooth Concrete,Coarse Concrete,Stamped Concrete,Asphalt,Epoxy,Tile,Short Carpet,Long Carpet,SPC,Laminate,Vinyl,"2""x2""","4""x4""","8""x8""","10""x10""","12""x12""","20""x20"""
,,L,W,H,,,,,,,,,,Sweep,Scrub,Mop,Sweep & Scrub,Vacuum,,,,,No Vacuum,Vacuum,Dry,Wet,Roller,Disc,2D,3D,VSLAM,,,,,Sweep,Scrub,Sweep & Vacuum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEENON,C20,523,400,351,,,,,,,,,,,400,,,,7,5,,0.66,,TRUE,TRUE,TRUE,,,,,,,,,4,6,5,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEENON,C30,490,610,750,35,530,,,0.8,,,TRUE,,540,,,,540,,,,,,TRUE,TRUE,,,,TRUE,,,,,,2-3,4,,,,,,,,,7,,Indoor,,,,TRUE,TRUE,,,TRUE,TRUE,,,,,,,,,,TRUE,,,,,,
KEENON,C40,578,500,690,70,560,-,-,0.8,70,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,LFP,25.6,50,2hr,15,5,6,650,750,,,,15,5°,-,Indoor,-,TRUE,,,,,,,,,,,,,,,,,,,,,,,
JTIBOT,Sweeper YZ,2270,1050,1710,,,,,,,,,,,10000,,,,50,,,120,,,TRUE,,TRUE,,,,,LiFePO4,,,3,4,,,1500,,,,,-,LFP,,Outdoor,,,,,,,,,,,,,,,,,,,,,,,,,
JTIBOT,Sweeper S120,1630,1200,1220,,,,,,,,,,,4000,,,,25,,,100,,,TRUE,,,,,,,LiFePO4,,,,6,,,,,,,,,15,,Outdoor,,H13,,,,,,,,,,,,,,,,,,,,,,,
CENOBOT,L3,765,572,1000,70,400,18,,1.4,,TRUE,TRUE,,,2016,,,,25,24,,,,,,,,TRUE,,TRUE,,LIP,24,60,2,,4,,700,,,1100,,,6,,Indoor,,,,TRUE,TRUE,,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,
CENOBOT,Scrubber L4,810,615,1075,150,450,25,,1.2,,,,,,1944,,,,38,36,,,,,,,,TRUE,,TRUE,TRUE,,24,80,2.7,,4.5,,810,,,1100,30,,5,TRUE,Indoor,,,,TRUE,TRUE,,,TRUE,TRUE,,,,TRUE,,,,,,FALSE,,,,,,
CENOBOT,L50,1030,580,1045,220,510,25,,1.4,,,,,,2570,,,,55,55,,,,,,,,TRUE,,TRUE,,LIP,24,120,4,,6,,900,,,,50,,6,,Indoor,,,,TRUE,TRUE,,,TRUE,TRUE,,,,TRUE,,,,,,,,,,,,
CENOBOT,SP50,855,600,1050,132,720,25,,1.2,,,,,1987 - 19870,,,,,,,5,18,,TRUE,TRUE,,,,TRUE,TRUE,TRUE,LIP,24,120,4,8 - 13,8,,800,,,1200,50,,6,TRUE,Indoor,,,,,,,,,TRUE,,,,TRUE,,TRUE,,,,TRUE,,,,,,
Ecovacs,M1,775,681,1012,,,,,,,,,,2160,2160,2160,,,35,33,,,,,,,,,,,,LFP,,60,2.5,8,3.5,,850,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecovacs,M1 3D,775,681,1012,,,,,,,,,,2160,2160,2160,,,35,33,,,,,,,,,,TRUE,,LFP,,60,2.5,8,3.5,,850,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecovacs,K1 VAC,558,420,592,,,,,,,,,,1296,1296,1296,,1296,,,,,,,,,,,,,,LFP,,30,2,8,4,,520,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIBOT,C5,820,680,1130,170 (machine weight) / 215 (total weight including water),550 (scrubbing width) / 840 (including side brush),25,18.18,1,<68 to 70,TRUE,TRUE,TRUE,FALSE,FALSE,"427 (Based on actual test results, dust pushing mode)","1,980 (highest specification) / 146 - 612 (based on actual test results)",TRUE,45,45,1.8,-,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,-,24,80,1.5,-,3,8,"800 (If it's a one-way street, 1100 is recommended)",1130,-,1720,0,15,5,TRUE (dynamic obstacle avoidance / area scanning/dropping).,Indoor (Not for outdoor use),IPX3,TRUE,-,-,TRUE,-,-,TRUE,TRUE,-,-,-,TRUE,TRUE,-,-,-,-,-,-,-,-,-,-,-
AGIBOT,V5,,,,,,,,,,TRUE,,,,1900,,,,,,,22,,TRUE,TRUE,TRUE,,,,,,,,80,1.5,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGIBOT,C2,,,,,,,,,,TRUE,,,,180,,,,4,3.5,,10,,TRUE,TRUE,TRUE,,,,,,,,25,2,,4,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIB ROBOTICS,J36,682,592,685,,,,,,,,,,,1100,,,,14,14,,8,,TRUE,TRUE,TRUE,,,,,,LiFePO4,,,2,12,3.5,,700,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
DD-Robot,C800,895,725,1100,,,,,,,,,,,1800,,,,30,25,,,,,,,TRUE,,,,,,,,1.5,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
